UniProt_ID,Protein,Gene,OMIM_ID
Q9UPI3,FLVC2_HUMAN,FLVCR2,225790
Q96DP5,FMT_HUMAN,MTFMT,256000
Q9BXW9,FACD2_HUMAN,FANCD2,227646
Q9UBX5,FBLN5_HUMAN,FBLN5,219100
P35556,FBN2_HUMAN,FBN2,121050
P23142,FBLN1_HUMAN,FBLN1,608180
Q9UKA2,FBXL4_HUMAN,FBXL4,615471
Q9BQL6,FERM1_HUMAN,FERMT1,173650
O95967,FBLN4_HUMAN,EFEMP2,614437
P21333,FLNA_HUMAN,FLNA,300048
Q14315,FLNC_HUMAN,FLNC,609524
P31513,FMO3_HUMAN,FMO3,602079
O75844,FACE1_HUMAN,ZMPSTE24,275210
O15360,FANCA_HUMAN,FANCA,227650
Q9HB96,FANCE_HUMAN,FANCE,600901
Q9NPI8,FANCF_HUMAN,FANCF,603467
Q9Y3I1,FBX7_HUMAN,FBXO7,260300
P12034,FGF5_HUMAN,FGF5,190330
Q96M96,FGD4_HUMAN,FGD4,609311
P61328,FGF12_HUMAN,FGF12,617166
Q9BXR6,FHR5_HUMAN,CFHR5,614809
P36888,FLT3_HUMAN,FLT3,601626
P04066,FUCO_HUMAN,FUCA1,230000
P14867,GBRA1_HUMAN,GABRA1,611136
P23415,GLRA1_HUMAN,GLRA1,149400
O00165,HAX1_HUMAN,HAX1,610738
Q9BR39,JPH2_HUMAN,JPH2,613873
Q8WXH2,JPH3_HUMAN,JPH3,606438
Q9BY41,HDAC8_HUMAN,HDAC8,300882
Q9Y3Q4,HCN4_HUMAN,HCN4,163800
P08397,HEM3_HUMAN,HMBS,176000
P06865,HEXA_HUMAN,HEXA,272800
Q9UBN7,HDAC6_HUMAN,HDAC6,300863
P36551,HEM6_HUMAN,CPOX,121300
P10746,HEM4_HUMAN,UROS,263700
P22830,HEMH_HUMAN,FECH,177000
Q15842,KCNJ8_HUMAN,KCNJ8,239850
Q9BYE0,HES7_HUMAN,HES7,613686
Q53FT3,HIKES_HUMAN,HIKESHI,616881
Q8IV16,HDBP1_HUMAN,GPIHBP1,615947
Q14CZ8,HECAM_HUMAN,HEPACAM,613925
P48544,KCNJ5_HUMAN,KCNJ5,613485
P42858,HD_HUMAN,HTT,143100
P13716,HEM2_HUMAN,ALAD,612740
Q9UQM7,KCC2A_HUMAN,CAMK2A,617798
Q16836,HCDH_HUMAN,HADH,231530
Q9NRZ9,HELLS_HUMAN,HELLS,616911
Q13554,KCC2B_HUMAN,CAMK2B,617799
P48048,KCNJ1_HUMAN,KCNJ1,241200
P48051,KCNJ6_HUMAN,KCNJ6,614098
Q68CP4,HGNAT_HUMAN,HGSNAT,252930
O60741,HCN1_HUMAN,HCN1,615871
P22557,HEM0_HUMAN,ALAS2,300751
P48730,KC1D_HUMAN,CSNK1D,615224
P63252,KCNJ2_HUMAN,KCNJ2,170390
Q30201,HFE_HUMAN,HFE,176200
O15409,FOXP2_HUMAN,FOXP2,602081
O95876,FRITZ_HUMAN,WDPCP,217085
Q5SZK8,FREM2_HUMAN,FREM2,617666
Q5CZC0,FSIP2_HUMAN,FSIP2,618153
Q9BQS8,FYCO1_HUMAN,FYCO1,610019
Q9UHG0,DCDC2_HUMAN,DCDC2,600202
Q92466,DDB2_HUMAN,DDB2,278740
O94830,DDHD2_HUMAN,DDHD2,615033
Q96HY6,DDRGK_HUMAN,DDRGK1,602557
Q9UJV9,DDX41_HUMAN,DDX41,616871
O43323,DHH_HUMAN,DHH,233420
Q9NRI5,DISC1_HUMAN,DISC1,604906
P22466,GALA_HUMAN,GAL,616461
P54803,GALC_HUMAN,GALC,245200
Q14376,GALE_HUMAN,GALE,230350
P51570,GALK1_HUMAN,GALK1,230200
P34059,GALNS_HUMAN,GALNS,253000
P41250,GARS_HUMAN,GARS,600794
Q02487,DSC2_HUMAN,DSC2,610476
Q14574,DSC3_HUMAN,DSC3,613102
Q9NSV4,DIAP3_HUMAN,DIAPH3,609129
Q8TDJ6,DMXL2_HUMAN,DMXL2,616113
Q13316,DMP1_HUMAN,DMP1,241520
Q16854,DGUOK_HUMAN,DGUOK,251880
Q8IYB7,DI3L2_HUMAN,DIS3L2,267000
Q5F1R6,DJC21_HUMAN,DNAJC21,617052
O75165,DJC13_HUMAN,DNAJC13,168600
Q08426,ECHP_HUMAN,EHHADH,615605
P02771,FETA_HUMAN,AFP,615969
Q6IQ26,DEN5A_HUMAN,DENND5A,617281
Q9Y5R6,DMRT1_HUMAN,DMRT1,154230
P09884,DPOLA_HUMAN,POLA1,301220
O75417,DPOLQ_HUMAN,POLQ,114480
Q8NEP3,DAAF1_HUMAN,DNAAF1,613193
O43602,DCX_HUMAN,DCX,300067
P20711,DDC_HUMAN,DDC,608643
Q86SQ9,DHDDS_HUMAN,DHDDS,613861
P51659,DHB4_HUMAN,HSD17B4,233400
Q9Y238,DLEC1_HUMAN,DLEC1,133239
Q9NR61,DLL4_HUMAN,DLL4,616589
Q6P3S1,DEN1B_HUMAN,DENND1B,600807
P00367,DHE3_HUMAN,GLUD1,606762
Q9UBM7,DHCR7_HUMAN,DHCR7,270400
P09622,DLDH_HUMAN,DLD,246900
P51530,DNA2_HUMAN,DNA2,615156
P52429,DGKE_HUMAN,DGKE,615008
Q96SD1,DCR1C_HUMAN,DCLRE1C,602450
Q96C86,DCPS_HUMAN,DCPS,616459
Q5T1V6,DDX59_HUMAN,DDX59,174300
Q9H816,DCR1B_HUMAN,DCLRE1B,305000
Q96FC9,DDX11_HUMAN,DDX11,613398
P01034,CYTC_HUMAN,CST3,105150
Q5H9S7,DCA17_HUMAN,DCAF17,241080
Q5TAQ9,DCAF8_HUMAN,DCAF8,610100
Q99259,DCE1_HUMAN,GAD1,603513
O95786,DDX58_HUMAN,DDX58,616298
Q14203,DCTN1_HUMAN,DCTN1,105400
P06132,DCUP_HUMAN,UROD,176100
Q16832,DDR2_HUMAN,DDR2,271665
Q96HY7,DHTK1_HUMAN,DHTKD1,204750
O00571,DDX3X_HUMAN,DDX3X,300958
O14521,DHSD_HUMAN,SDHD,168000
Q7L2E3,DHX30_HUMAN,DHX30,617804
O60832,DKC1_HUMAN,DKC1,305000
P59910,DJB13_HUMAN,DNAJB13,617091
Q16698,DECR_HUMAN,DECR1,616034
Q86Y56,DAAF5_HUMAN,DNAAF5,614874
Q14118,DAG1_HUMAN,DAG1,613818
P59103,DAOA_HUMAN,DAOA,181500
P43146,DCC_HUMAN,DCC,157600
Q9NYF0,DACT1_HUMAN,DACT1,182940
Q9NR28,DBLOH_HUMAN,DIABLO,614152
Q8TCX1,DC2L1_HUMAN,DYNC2LI1,617088
Q9Y616,IRAK3_HUMAN,IRAK3,611064
Q9NWZ3,IRAK4_HUMAN,IRAK4,607676
Q02556,IRF8_HUMAN,IRF8,226990
A1A4Y4,IRGM_HUMAN,IRGM,612278
P35568,IRS1_HUMAN,IRS1,125853
P11168,GTR2_HUMAN,SLC2A2,227810
O95528,GTR10_HUMAN,SLC2A10,208050
Q8IYU2,HACE1_HUMAN,HACE1,616756
P78504,JAG1_HUMAN,JAG1,118450
Q8N5M9,JAGN1_HUMAN,JAGN1,616022
O60674,JAK2_HUMAN,JAK2,254450
P69905,HBA_HUMAN,HBA1;,140700
Q8N5Z5,KCD17_HUMAN,KCTD17,616398
Q12794,HYAL1_HUMAN,HYAL1,601492
P31271,HXA13_HUMAN,HOXA13,140000
Q08334,I10R2_HUMAN,IL10RB,610424
Q14626,I11RA_HUMAN,IL11RA,614188
P42701,I12R1_HUMAN,IL12RB1,614891
P38919,IF4A3_HUMAN,EIF4A3,268305
P27352,IF_HUMAN,CBLIF,261000
Q9Y5Q3,MAFB_HUMAN,MAFB,166300
Q8N6C5,IGSF1_HUMAN,IGSF1,300888
Q13422,IKZF1_HUMAN,IKZF1,616873
P01589,IL2RA_HUMAN,IL2RA,601942
Q8N4S9,MALD2_HUMAN,MARVELD2,610153
P09601,HMOX1_HUMAN,HMOX1,614034
Q969F9,HPS3_HUMAN,HPS3,614072
Q9NQG7,HPS4_HUMAN,HPS4,614073
P04196,HRG_HUMAN,HRG,613116
Q99081,HTF4_HUMAN,TCF12,615314
Q9BYI3,HYCCI_HUMAN,FAM126A,610532
P31276,HXC13_HUMAN,HOXC13,614931
Q9C0A6,SETD5_HUMAN,SETD5,615761
Q92765,SFRP3_HUMAN,FRZB,165720
Q6FHJ7,SFRP4_HUMAN,SFRP4,265900
Q9H5K3,SG196_HUMAN,POMK,615249
P12271,RLBP1_HUMAN,RLBP1,136880
Q63HN8,RN213_HUMAN,RNF213,607151
Q9NWF9,RN216_HUMAN,RNF216,212840
Q03395,ROM1_HUMAN,ROM1,608133
P09651,ROA1_HUMAN,HNRNPA1,615424
Q04912,RON_HUMAN,MST1R,617075
Q01974,ROR2_HUMAN,ROR2,113000
P35398,RORA_HUMAN,RORA,618060
P49247,RPIA_HUMAN,RPIA,608611
Q9BQ52,RNZ2_HUMAN,ELAC2,176807
P22626,ROA2_HUMAN,HNRNPA2B1,615422
Q9GZN7,ROGDI_HUMAN,ROGDI,226750
Q96MS0,ROBO3_HUMAN,ROBO3,607313
Q8IWN7,RP1L1_HUMAN,RP1L1,613587
Q8N0X7,SPART_HUMAN,SPART,275900
Q01105,SET_HUMAN,SET,618106
Q07617,SPAG1_HUMAN,SPAG1,615505
Q9HD40,SPCS_HUMAN,SEPSECS,613811
A1X283,SPD2B_HUMAN,SH3PXD2B,249420
O60930,RNH1_HUMAN,RNASEH1,616479
Q05823,RN5A_HUMAN,RNASEL,176807
Q8IYW5,RN168_HUMAN,RNF168,611943
Q9Y252,RNF6_HUMAN,RNF6,133239
Q5TBB1,RNH2B_HUMAN,RNASEH2B,610181
Q8IYM1,SEP12_HUMAN,43720,614822
O43175,SERA_HUMAN,PHGDH,256520
Q9BSV6,SEN34_HUMAN,TSEN34,612390
O95343,SIX3_HUMAN,SIX3,157170
Q15475,SIX1_HUMAN,SIX1,605192
O15455,TLR3_HUMAN,TLR3,613002
P19634,SL9A1_HUMAN,SLC9A1,616291
P48764,SL9A3_HUMAN,SLC9A3,616868
O60602,TLR5_HUMAN,TLR5,109100
Q96PX8,SLIK1_HUMAN,SLITRK1,613229
O75204,TM127_HUMAN,TMEM127,171300
P0C7P3,SLN14_HUMAN,SLFN14,616913
Q9NPI0,TM138_HUMAN,TMEM138,614465
Q9HC07,TM165_HUMAN,TMEM165,614727
Q9ULL8,SHRM4_HUMAN,SHROOM4,300434
Q07837,SLC31_HUMAN,SLC3A1,220100
Q9H4F8,SMOC1_HUMAN,SMOC1,206920
Q13424,SNTA1_HUMAN,SNTA1,612955
Q07889,SOS1_HUMAN,SOS1,135300
P01241,SOMA_HUMAN,GH1,173100
Q9NZV5,SELN_HUMAN,SELENON,255310
Q9H3S1,SEM4A_HUMAN,SEMA4A,610282
Q8NCE0,SEN2_HUMAN,TSEN2,612389
Q11203,SIAT6_HUMAN,ST3GAL3,611090
Q9H808,TLE6_HUMAN,TLE6,616814
P78330,SERB_HUMAN,PSPH,614023
Q15465,SHH_HUMAN,SHH,135750
Q9H173,SIL1_HUMAN,SIL1,248800
P57059,SIK1_HUMAN,SIK1,616341
Q86UE8,TLK2_HUMAN,TLK2,618050
Q8N196,SIX5_HUMAN,SIX5,610896
O95475,SIX6_HUMAN,SIX6,212550
Q15477,SKIV2_HUMAN,SKIV2L,614602
P12755,SKI_HUMAN,SKI,182212
O15269,SPTC1_HUMAN,SPTLC1,162400
Q96JI7,SPTCS_HUMAN,SPG11,602099
Q96DX4,RSPRY_HUMAN,RSPRY1,616723
P21817,RYR1_HUMAN,RYR1,117000
Q9BYT1,S17A9_HUMAN,SLC17A9,616063
Q9BZD2,S29A3_HUMAN,SLC29A3,602782
Q96H72,S39AD_HUMAN,SLC39A13,612350
Q9NY65,TBA8_HUMAN,TUBA8,613180
P62273,RS29_HUMAN,RPS29,615909
Q6UXX9,RSPO2_HUMAN,RSPO2,618021
Q2I0M5,RSPO4_HUMAN,RSPO4,206800
Q15858,SCN9A_HUMAN,SCN9A,133020
A6NFY7,SDHF1_HUMAN,SDHAF1,252011
Q8WW01,SEN15_HUMAN,TSEN15,617026
Q9BYB0,SHAN3_HUMAN,SHANK3,606232
Q9NR45,SIAS_HUMAN,NANS,610442
Q9NP59,S40A1_HUMAN,SLC40A1,606069
Q9Y345,SC6A5_HUMAN,SLC6A5,614618
Q15436,SC23A_HUMAN,SEC23A,607812
Q14563,SEM3A_HUMAN,SEMA3A,614897
O60292,SI1L3_HUMAN,SIPA1L3,616851
Q86VV8,RTTN_HUMAN,RTTN,614833
Q9NRA2,S17A5_HUMAN,SLC17A5,269920
Q9H2B4,S26A1_HUMAN,SLC26A1,167030
Q9BZV2,S19A3_HUMAN,SLC19A3,607483
Q6UVJ0,SAS6_HUMAN,SASS6,616402
P30531,SC6A1_HUMAN,SLC6A1,616421
P21583,SCF_HUMAN,KITLG,145250
P48029,SC6A8_HUMAN,SLC6A8,300352
P51170,SCNNG_HUMAN,SCNN1G,613071
Q07699,SCN1B_HUMAN,SCN1B,604233
O75880,SCO1_HUMAN,SCO1,220110
Q99250,SCN2A_HUMAN,SCN2A,607745
P35499,SCN4A_HUMAN,SCN4A,168300
Q13621,S12A1_HUMAN,SLC12A1,601678
Q9NVW2,RNF12_HUMAN,RLIM,300978
O15160,RPAC1_HUMAN,POLR1C,248390
Q96EQ8,RN125_HUMAN,RNF125,616260
Q9NWS8,RMND1_HUMAN,RMND1,614922
P17900,SAP3_HUMAN,GM2A,272750
Q68DV7,RNF43_HUMAN,RNF43,617108
P09001,RM03_HUMAN,MRPL3,614582
Q6PCD5,RFWD3_HUMAN,RFWD3,617784
O14593,RFXK_HUMAN,RFXANK,209920
P18077,RL35A_HUMAN,RPL35A,612528
P57078,RIPK4_HUMAN,RIPK4,263650
Q9BYW2,SETD2_HUMAN,SETD2,144700
Q8IWL2,SFTA1_HUMAN,SFTPA1,178500
Q8IUD6,RN135_HUMAN,RNF135,614192
Q8TDP1,RNH2C_HUMAN,RNASEH2C,610329
O75792,RNH2A_HUMAN,RNASEH2A,610333
P51449,RORG_HUMAN,RORC,616622
P56715,RP1_HUMAN,RP1,145750
P78381,S35A2_HUMAN,SLC35A2,300896
Q9H9J2,RM44_HUMAN,MRPL44,615395
Q9Y2R9,RT07_HUMAN,MRPS7,617872
P82650,RT22_HUMAN,MRPS22,611719
O95136,S1PR2_HUMAN,S1PR2,610419
Q9H015,S22A4_HUMAN,SLC22A4,180300
Q9H1V8,S6A17_HUMAN,SLC6A17,616269
P61619,S61A1_HUMAN,SEC61A1,617056
Q9Y467,SALL2_HUMAN,SALL2,216820
Q9GZV3,SC5A7_HUMAN,SLC5A7,158580
O15270,SPTC2_HUMAN,SPTLC2,613640
P08865,RSSA_HUMAN,RPSA,271400
Q01196,RUNX1_HUMAN,RUNX1,601399
Q13950,RUNX2_HUMAN,RUNX2,119600
Q53R12,T4S20_HUMAN,TM4SF20,615432
Q9Y3Z3,SAMH1_HUMAN,SAMHD1,612952
O94855,SC24D_HUMAN,SEC24D,616294
P23975,SC6A2_HUMAN,SLC6A2,604715
Q9UPW6,SATB2_HUMAN,SATB2,119540
Q495M3,S36A2_HUMAN,SLC36A2,138500
Q6P5W5,S39A4_HUMAN,SLC39A4,201100
Q9NP91,S6A20_HUMAN,SLC6A20,138500
Q8NBS3,S4A11_HUMAN,SLC4A11,217400
Q8TBB6,S7A14_HUMAN,SLC7A14,615725
Q15437,SC23B_HUMAN,SEC23B,224100
Q9Y6B6,SAR1B_HUMAN,SAR1B,246700
Q9UI33,SCNBA_HUMAN,SCN11A,615548
P51168,SCNNB_HUMAN,SCNN1B,177200
P31639,SC5A2_HUMAN,SLC5A2,233100
Q9UL12,SARDH_HUMAN,SARDH,268900
O75845,SC5D_HUMAN,SC5D,607330
P48067,SC6A9_HUMAN,SLC6A9,617301
Q9Y5Y9,SCNAA_HUMAN,SCN10A,615551
Q9NY72,SCN3B_HUMAN,SCN3B,613120
Q7Z6J9,SEN54_HUMAN,TSEN54,225753
Q92911,SC5A5_HUMAN,SLC5A5,274400
Q01959,SC6A3_HUMAN,SLC6A3,613135
P43007,SATT_HUMAN,SLC1A4,616657
O43819,SCO2_HUMAN,SCO2,256000
Q9NY46,SCN3A_HUMAN,SCN3A,617935
Q96T21,SEBP2_HUMAN,SECISBP2,609698
Q9NX18,SDHF2_HUMAN,SDHAF2,601650
Q8WWV3,RT4I1_HUMAN,RTN4IP1,616732
P62304,RUXE_HUMAN,SNRPE,615059
O60779,S19A2_HUMAN,SLC19A2,249270
Q9NZJ4,SACS_HUMAN,SACS,270550
Q9C0K1,S39A8_HUMAN,SLC39A8,616721
Q9Y3A5,SBDS_HUMAN,SBDS,260400
P21912,SDHB_HUMAN,SDHB,115310
Q08357,S20A2_HUMAN,SLC20A2,213600
P40879,S26A3_HUMAN,SLC26A3,214700
Q96S37,S22AC_HUMAN,SLC22A12,220150
Q9H2D6,TARA_HUMAN,TRIOBP,609823
Q9HAB3,S52A2_HUMAN,SLC52A2,614707
Q15043,S39AE_HUMAN,SLC39A14,144755
P31213,S5A2_HUMAN,SRD5A2,264600
Q695T7,S6A19_HUMAN,SLC6A19,138500
Q6ZMH5,S39A5_HUMAN,SLC39A5,615946
Q9Y6R1,S4A4_HUMAN,SLC4A4,604278
Q5K651,SAMD9_HUMAN,SAMD9,610455
Q9NSC2,SALL1_HUMAN,SALL1,107480
Q9UJQ4,SALL4_HUMAN,SALL4,147750
P68366,TBA4A_HUMAN,TUBA4A,616208
Q70HW3,SAMC_HUMAN,SLC25A26,616794
P37088,SCNNA_HUMAN,SCNN1A,264350
Q9UQD0,SCN8A_HUMAN,SCN8A,614306
P31040,SDHA_HUMAN,SDHA,252011
P50443,S26A2_HUMAN,SLC26A2,222600
P07602,SAP_HUMAN,PSAP,249900
P13866,SC5A1_HUMAN,SLC5A1,606824
P55809,SCOT1_HUMAN,OXCT1,245050
Q8IWT1,SCN4B_HUMAN,SCN4B,611819
Q14160,SCRIB_HUMAN,SCRIB,182940
Q86SQ7,SDCG8_HUMAN,SDCCAG8,613615
Q9Y2V3,RX_HUMAN,RAX,611038
O76082,S22A5_HUMAN,SLC22A5,212140
Q86YT5,S13A5_HUMAN,SLC13A5,615905
Q6P1M0,S27A4_HUMAN,SLC27A4,608649
Q9Y2W3,S45A1_HUMAN,SLC45A1,617532
Q9UMX9,S45A2_HUMAN,SLC45A2,227240
Q9NQ40,S52A3_HUMAN,SLC52A3,211500
Q8TF17,S3TC2_HUMAN,SH3TC2,601596
Q9Y399,RT02_HUMAN,MRPS2,617950
Q8WYR4,RSPH1_HUMAN,RSPH1,615481
Q92736,RYR2_HUMAN,RYR2,600996
Q96BI1,S22AI_HUMAN,SLC22A18,114480
Q96K19,RN170_HUMAN,RNF170,608984
Q7Z333,SETX_HUMAN,SETX,602433
Q8IWL1,SFPA2_HUMAN,SFTPA2,178500
Q5FBB7,SGO1_HUMAN,SGO1,616201
Q13813,SPTN1_HUMAN,SPTAN1,613477
O43597,SPY2_HUMAN,SPRY2,616818
Q9C004,SPY4_HUMAN,SPRY4,615266
Q5TD94,RSH4A_HUMAN,RSPH4A,612649
Q9NZ71,RTEL1_HUMAN,RTEL1,615190
P82930,RT34_HUMAN,MRPS34,617664
P55017,S12A3_HUMAN,SLC12A3,263800
Q9H2X9,S12A5_HUMAN,SLC12A5,616645
Q9HCK4,ROBO2_HUMAN,ROBO2,610878
Q01973,ROR1_HUMAN,ROR1,617654
O14802,RPC1_HUMAN,POLR3A,607694
Q9Y3D3,RT16_HUMAN,MRPS16,610498
Q96DW6,S2538_HUMAN,SLC25A38,205950
Q9NTN3,S35D1_HUMAN,SLC35D1,269250
Q9NWF4,S52A1_HUMAN,SLC52A1,615026
Q86UC2,RSPH3_HUMAN,RSPH3,616481
Q9H1X1,RSPH9_HUMAN,RSPH9,612650
Q8WXD0,RXFP2_HUMAN,RXFP2,219050
Q9Y2B1,RXLT1_HUMAN,RXYLT1,615041
Q9UHW9,S12A6_HUMAN,SLC12A6,218000
Q96AG3,S2546_HUMAN,SLC25A46,616505
O75298,RTN2_HUMAN,RTN2,604805
Q9BZR6,RTN4R_HUMAN,RTN4R,181500
Q8N2Y8,RUSC2_HUMAN,RUSC2,617773
O43511,S26A4_HUMAN,SLC26A4,274600
Q96RN1,S26A8_HUMAN,SLC26A8,606766
A6NNN8,S38A8_HUMAN,SLC38A8,609218
P23526,SAHH_HUMAN,AHCY,613752
Q8IVG5,SAM9L_HUMAN,SAMD9L,159550
O00294,TULP1_HUMAN,TULP1,600132
Q9H061,T126A_HUMAN,TMEM126A,612989
P49848,TAF6_HUMAN,TAF6,617126
Q70YC4,TALAN_HUMAN,ZNF365,605990
Q9BVV6,TALD3_HUMAN,KIAA0586,616490
Q00059,TFAM_HUMAN,TFAM,617156
P19429,TNNI3_HUMAN,TNNI3,115210
Q3ZCQ8,TIM50_HUMAN,TIMM50,617698
Q8NEW7,TMIE_HUMAN,TMIE,600971
Q71U36,TBA1A_HUMAN,TUBA1A,611603
Q9ULP9,TBC24_HUMAN,TBC1D24,220500
O95935,TBX18_HUMAN,TBX18,143400
Q13488,VPP3_HUMAN,TCIRG1,259700
P00734,THRB_HUMAN,F2,188050
Q6NUS6,TECT3_HUMAN,TCTN3,258860
Q8IWB6,TEX14_HUMAN,TEX14,617707
Q92994,TF3B_HUMAN,BRF1,616202
Q9UP52,TFR2_HUMAN,TFR2,604250
Q08188,TGM3_HUMAN,TGM3,617251
P57082,TBX4_HUMAN,TBX4,147891
Q96SF7,TBX15_HUMAN,TBX15,260660
P28347,TEAD1_HUMAN,TEAD1,108985
Q9NQB0,TF7L2_HUMAN,TCF7L2,125853
P31483,TIA1_HUMAN,TIA1,604454
Q9BUR4,TCAB1_HUMAN,WRAP53,613988
P48643,TCPE_HUMAN,CCT5,256840
Q9Y487,VPP2_HUMAN,ATP6V0A2,219200
P10600,TGFB3_HUMAN,TGFB3,107970
P36897,TGFR1_HUMAN,TGFBR1,132800
Q03518,TAP1_HUMAN,TAP1,604571
Q03519,TAP2_HUMAN,TAP2,604571
P07437,TBB5_HUMAN,TUBB,156610
O15178,TBXT_HUMAN,TBXT,182940
Q9UL17,TBX21_HUMAN,TBX21,208550
Q9Y4R8,TELO2_HUMAN,TELO2,616954
Q9UHD2,TBK1_HUMAN,TBK1,177700
P55072,TERA_HUMAN,VCP,167320
P02786,TFR1_HUMAN,TFRC,616740
Q15583,TGIF1_HUMAN,TGIF1,142946
P22735,TGM1_HUMAN,TGM1,242300
P10828,THB_HUMAN,THRB,145650
P61812,TGFB2_HUMAN,TGFB2,614816
P37173,TGFR2_HUMAN,TGFBR2,133239
Q13885,TBB2A_HUMAN,TUBB2A,615763
Q9NZ01,TECR_HUMAN,TECR,614020
P22105,TENX_HUMAN,TNXB,606408
Q8IYF3,TEX11_HUMAN,TEX11,309120
Q6ZYL4,TF2H5_HUMAN,GTF2H5,616395
P24821,TENA_HUMAN,TNC,615629
Q92734,TFG_HUMAN,TFG,604484
O95932,TGM3L_HUMAN,TGM6,613908
Q9BSH4,TACO1_HUMAN,TACO1,256000
P10636,TAU_HUMAN,MAPT,157140
Q13509,TBB3_HUMAN,TUBB3,600638
P37840,SYUA_HUMAN,SNCA,127750
Q92750,TAF4B_HUMAN,TAF4B,615841
Q99593,TBX5_HUMAN,TBX5,142900
O95947,TBX6_HUMAN,TBX6,122600
Q9BZK7,TBL1R_HUMAN,TBL1XR1,602342
Q5T011,SZT2_HUMAN,SZT2,615476
P29084,T2EB_HUMAN,GTF2E2,616943
Q9BTW9,TBCD_HUMAN,TBCD,617193
O60343,TBCD4_HUMAN,TBC1D4,616087
Q6N021,TET2_HUMAN,TET2,263300
Q96BZ9,TBC20_HUMAN,TBC1D20,615663
Q3ZCM7,TBB8_HUMAN,TUBB8,616780
Q15813,TBCE_HUMAN,TBCE,241410
Q8TEA7,TBCK_HUMAN,TBCK,616900
O43435,TBX1_HUMAN,TBX1,188400
Q9UMR3,TBX20_HUMAN,TBX20,611363
P20062,TCO2_HUMAN,TCN2,275350
Q5HYJ1,TECRL_HUMAN,TECRL,614021
Q9BXT5,TEX15_HUMAN,TEX15,617960
O60806,TBX19_HUMAN,TBX19,201400
P23258,TBG1_HUMAN,TUBG1,615412
O15273,TELT_HUMAN,TCAP,601954
O14746,TERT_HUMAN,TERT,178500
Q96IP4,TET5A_HUMAN,TENT5A,617952
P15923,TFE2_HUMAN,TCF3,616941
Q9H270,VPS11_HUMAN,VPS11,616683
O43548,TGM5_HUMAN,TGM5,609796
P24557,THAS_HUMAN,TBXAS1,231095
Q9NVV9,THAP1_HUMAN,THAP1,602629
Q9NUM4,T106B_HUMAN,TMEM106B,105550
Q9P0N9,TBCD7_HUMAN,TBC1D7,248000
Q9Y458,TBX22_HUMAN,TBX22,302905
Q13428,TCOF_HUMAN,TCOF1,154500
O15040,TCPR2_HUMAN,TECPR2,615031
Q8NHU6,TDRD7_HUMAN,TDRD7,613887
O75443,TECTA_HUMAN,TECTA,601543
Q6P1X5,TAF2_HUMAN,TAF2,615599
Q13148,TADBP_HUMAN,TARDBP,612069
P09758,TACD2_HUMAN,TACSTD2,204870
P26640,SYVC_HUMAN,VARS,617802
P23381,SYWC_HUMAN,WARS,617721
P54577,SYYC_HUMAN,YARS,608323
Q9Y2Z4,SYYM_HUMAN,YARS2,613561
Q6NXT6,TAPT1_HUMAN,TAPT1,616897
Q16635,TAZ_HUMAN,TAZ,302060
Q9HBG4,VPP4_HUMAN,ATP6V0A4,602722
Q6N022,TEN4_HUMAN,TENM4,616736
P01137,TGFB1_HUMAN,TGFB1,131300
Q15543,TAF13_HUMAN,TAF13,617432
Q9BVA1,TBB2B_HUMAN,TUBB2B,208150
Q9UHF0,TKNK_HUMAN,TAC3,614839
P57727,TMPS3_HUMAN,TMPRSS3,601072
Q8IU80,TMPS6_HUMAN,TMPRSS6,206200
P48788,TNNI2_HUMAN,TNNI2,601680
Q9Y5L0,TNPO3_HUMAN,TNPO3,608423
Q13472,TOP3A_HUMAN,TOP3A,618097
Q7Z392,TPC11_HUMAN,TRAPPC11,615356
Q8WVT3,TPC12_HUMAN,TRAPPC12,617669
P40238,TPOR_HUMAN,MPL,254450
O00300,TR11B_HUMAN,TNFRSF11B,239000
Q9Y3C4,TPRKB_HUMAN,TPRKB,617731
P24752,THIL_HUMAN,ACAT1,203750
Q8NI27,THOC2_HUMAN,THOC2,300957
P0DI81,TPC2A_HUMAN,TRAPPC2,313400
Q9HC21,TPC_HUMAN,SLC25A19,607196
P60174,TPIS_HUMAN,TPI1,615512
P40225,TPO_HUMAN,THPO,187950
O60220,TIM8A_HUMAN,TIMM8A,304700
Q9BUB7,TMM70_HUMAN,TMEM70,614052
P21580,TNAP3_HUMAN,TNFAIP3,616744
Q9NS56,TOPRS_HUMAN,TOPORS,609923
O14656,TOR1A_HUMAN,TOR1A,128100
Q8IWU9,TPH2_HUMAN,TPH2,608516
Q00005,2ABB_HUMAN,PPP2R2B,604326
O60706,ABCC9_HUMAN,ABCC9,239850
P63261,ACTG_HUMAN,ACTG1,604717
P01009,A1AT_HUMAN,SERPINA1,613490
Q9UGJ0,AAKG2_HUMAN,PRKAG2,194200
P17787,ACHB2_HUMAN,CHRNB2,605375
O14672,ADA10_HUMAN,ADAM10,615537
P49902,5NTC_HUMAN,NT5C2,613162
P33897,ABCD1_HUMAN,ABCD1,300100
Q99798,ACON_HUMAN,ACO2,614559
P28288,ABCD3_HUMAN,ABCD3,616278
Q8WTS1,ABHD5_HUMAN,ABHD5,275630
Q9NP58,ABCB6_HUMAN,ABCB6,111600
Q07001,ACHD_HUMAN,CHRND,253290
P78314,3BP2_HUMAN,SH3BP2,118400
