UniProt_ID,Protein,Gene,OMIM_ID
O75962,TRIO_HUMAN,TRIO,617061
Q14669,TRIPC_HUMAN,TRIP12,617752
Q96Q11,TRNT1_HUMAN,TRNT1,616084
Q9H0U9,TSYL1_HUMAN,TSPYL1,608800
Q6IQ55,TTBK2_HUMAN,TTBK2,604432
Q9Y3C8,UFC1_HUMAN,UFC1,618076
Q8N2C7,UNC80_HUMAN,UNC80,616801
Q9BTV4,TMM43_HUMAN,TMEM43,604400
Q9NVH6,TMLH_HUMAN,TMLHE,300872
P48023,TNFL6_HUMAN,FASLG,601859
P45379,TNNT2_HUMAN,TNNT2,115195
Q9Y6Q6,TNR11_HUMAN,TNFRSF11A,174810
O14763,TR10B_HUMAN,TNFRSF10B,275355
Q13061,TRDN_HUMAN,TRDN,615441
P07204,TRBM_HUMAN,THBD,612926
P02787,TRFE_HUMAN,TF,209300
Q9Y210,TRPC6_HUMAN,TRPC6,603965
P35442,TSP2_HUMAN,THBS2,603932
Q6EMB2,TTLL5_HUMAN,TTLL5,615860
Q9UMW8,UBP18_HUMAN,USP18,617397
P09936,UCHL1_HUMAN,UCHL1,613643
Q9HAT2,SIAE_HUMAN,SIAE,613551
O15357,SHIP2_HUMAN,INPPL1,125853
P25445,TNR6_HUMAN,FAS,601859
A7XYQ1,SOBP_HUMAN,SOBP,613671
Q9Y6L6,SO1B1_HUMAN,SLCO1B1,237450
Q9NPD5,SO1B3_HUMAN,SLCO1B3,237450
Q13114,TRAF3_HUMAN,TRAF3,614849
P35716,SOX11_HUMAN,SOX11,615866
Q5JUK2,SOLH1_HUMAN,SOHLH1,617690
Q9P0W8,SPAT7_HUMAN,SPATA7,268000
O15344,TRI18_HUMAN,MID1,300000
Q13049,TRI32_HUMAN,TRIM32,254110
P55916,UCP3_HUMAN,UCP3,601665
P22309,UD11_HUMAN,UGT1A1,143500
Q70J99,UN13D_HUMAN,UNC13D,608898
P30518,V2R_HUMAN,AVPR2,300539
Q16572,VACHT_HUMAN,SLC18A3,617239
Q15904,VAS1_HUMAN,ATP6AP1,300972
P21281,VATB2_HUMAN,ATP6V1B2,124480
Q96DX7,TRI44_HUMAN,TRIM44,617142
P11172,UMPS_HUMAN,UMPS,258900
Q8TAA9,VANG1_HUMAN,VANGL1,182940
Q9ULK5,VANG2_HUMAN,VANGL2,182940
P38606,VATA_HUMAN,ATP6V1A,617403
Q5SQQ9,VAX1_HUMAN,VAX1,614402
Q9NSU2,TREX1_HUMAN,TREX1,152700
Q96TA2,YMEL1_HUMAN,YME1L1,617302
Q9P273,TEN3_HUMAN,TENM3,615145
Q9BSI4,TINF2_HUMAN,TINF2,268130
P35625,TIMP3_HUMAN,TIMP3,136900
P01375,TNFA_HUMAN,TNF,607507
P19438,TNR1A_HUMAN,TNFRSF1A,142680
P01374,TNFB_HUMAN,LTA,607507
P01266,THYG_HUMAN,TG,274700
Q6ICL3,TNG2_HUMAN,TANGO2,616878
Q59H18,TNI3K_HUMAN,TNNI3K,616117
Q5JTV8,TOIP1_HUMAN,TOR1AIP1,617072
Q96GM8,TOE1_HUMAN,TOE1,614969
Q8WZ04,TOMT_HUMAN,LRTOMT,611451
P17861,XBP1_HUMAN,XBP1,612371
Q86W42,THOC6_HUMAN,THOC6,613680
Q02763,TIE2_HUMAN,TEK,600195
Q9Y3D7,TIM16_HUMAN,PAM16,613320
Q8WZ42,TITIN_HUMAN,TTN,600334
Q9Y2Y6,TMM98_HUMAN,TMEM98,615972
P63316,TNNC1_HUMAN,TNNC1,611879
O14788,TNF11_HUMAN,TNFSF11,259710
P45378,TNNT3_HUMAN,TNNT3,601680
Q9UKE5,TNIK_HUMAN,TNIK,617028
P43489,TNR4_HUMAN,TNFRSF4,615593
Q01081,U2AF1_HUMAN,U2AF1,614286
Q8N9I0,SYT2_HUMAN,SYT2,616040
Q9BW92,SYTM_HUMAN,TARS2,615918
Q8NB59,SYT14_HUMAN,SYT14,614229
P40200,TACT_HUMAN,CD96,211750
P21675,TAF1_HUMAN,TAF1,300966
O14773,TPP1_HUMAN,TPP1,204500
Q9NZC2,TREM2_HUMAN,TREM2,221770
P09493,TPM1_HUMAN,TPM1,115196
O14836,TR13B_HUMAN,TNFRSF13B,240500
Q96RJ3,TR13C_HUMAN,TNFRSF13C,613494
P49459,UBE2A_HUMAN,UBE2A,300860
Q9H4B7,TBB1_HUMAN,TUBB1,613112
P04350,TBB4A_HUMAN,TUBB4A,128101
Q8IUC6,TCAM1_HUMAN,TICAM1,614850
Q9UJV3,TRIM1_HUMAN,MID2,300928
P06753,TPM3_HUMAN,TPM3,255310
Q9H3S4,TPK1_HUMAN,TPK1,614458
O15533,TPSN_HUMAN,TAPBP,604571
Q07283,TRHY_HUMAN,TCHH,617252
O43280,TREA_HUMAN,TREH,612119
Q9C040,TRIM2_HUMAN,TRIM2,615490
Q9Y5Z9,UBIA1_HUMAN,UBIAD1,121800
P31629,ZEP2_HUMAN,HIVEP2,616977
B2RXF5,ZBT42_HUMAN,ZBTB42,616248
Q9BTA9,WAC_HUMAN,WAC,616708
Q32MQ0,ZN750_HUMAN,ZNF750,610227
Q96JG9,ZN469_HUMAN,ZNF469,229200
Q9UM01,YLAT1_HUMAN,SLC7A7,222700
Q9NQZ6,ZC4H2_HUMAN,ZC4H2,314580
Q9H4Z2,ZN335_HUMAN,ZNF335,615095
Q8N8E2,ZN513_HUMAN,ZNF513,613617
Q9Y462,ZN711_HUMAN,ZNF711,300803
P58304,VSX2_HUMAN,VSX2,610092
O15537,XLRS1_HUMAN,RS1,312700
O43542,XRCC3_HUMAN,XRCC3,114480
Q13426,XRCC4_HUMAN,XRCC4,616541
P47989,XDH_HUMAN,XDH,278300
P23025,XPA_HUMAN,XPA,278700
Q01831,XPC_HUMAN,XPC,278720
Q9BZH6,WDR11_HUMAN,WDR11,614858
Q86Y38,XYLT1_HUMAN,XYLT1,264800
Q9H1B5,XYLT2_HUMAN,XYLT2,264800
Q969T9,WBP2_HUMAN,WBP2,617639
